 Total battles: 1176595
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 15.30816% | 360230 | 15.308% | 309675 | 16.756% | 
 | 2    | Heatran            | 14.65245% | 344800 | 14.652% | 291485 | 15.771% | 
 | 3    | Talonflame         | 14.58917% | 343311 | 14.589% | 264857 | 14.331% | 
 | 4    | Ferrothorn         | 14.52335% | 341762 | 14.523% | 297956 | 16.121% | 
 | 5    | Rotom-Wash         | 14.45442% | 340140 | 14.454% | 290885 | 15.739% | 
 | 6    | Scizor             | 13.55075% | 318875 | 13.551% | 253695 | 13.727% | 
 | 7    | Charizard          | 12.33674% | 290307 | 12.337% | 228075 | 12.340% | 
 | 8    | Gengar             | 11.88905% | 279772 | 11.889% | 207233 | 11.213% | 
 | 9    | Garchomp           | 11.34919% | 267068 | 11.349% | 215114 | 11.639% | 
 | 10   | Azumarill          | 11.32072% | 266398 | 11.321% | 210346 | 11.381% | 
 | 11   | Latios             | 10.20079% | 240044 | 10.201% | 176207 |  9.534% | 
 | 12   | Bisharp            |  9.77210% | 229956 |  9.772% | 170627 |  9.232% | 
 | 13   | Dragonite          |  9.46154% | 222648 |  9.462% | 162428 |  8.788% | 
 | 14   | Keldeo             |  9.36482% | 220372 |  9.365% | 170211 |  9.210% | 
 | 15   | Tyranitar          |  9.35683% | 220184 |  9.357% | 178903 |  9.680% | 
 | 16   | Metagross          |  9.28752% | 218553 |  9.288% | 169252 |  9.158% | 
 | 17   | Gliscor            |  9.27354% | 218224 |  9.274% | 172141 |  9.314% | 
 | 18   | Excadrill          |  9.05749% | 213140 |  9.057% | 161244 |  8.724% | 
 | 19   | Clefable           |  8.33919% | 196237 |  8.339% | 151982 |  8.223% | 
 | 20   | Starmie            |  7.36337% | 173274 |  7.363% | 131588 |  7.120% | 
 | 21   | Skarmory           |  7.30183% | 171826 |  7.302% | 147945 |  8.005% | 
 | 22   | Conkeldurr         |  7.22874% | 170106 |  7.229% | 133714 |  7.235% | 
 | 23   | Sableye            |  7.22844% | 170099 |  7.228% | 142779 |  7.725% | 
 | 24   | Sylveon            |  7.16721% | 168658 |  7.167% | 126474 |  6.843% | 
 | 25   | Venusaur           |  7.06377% | 166224 |  7.064% | 130671 |  7.070% | 
 | 26   | Latias             |  7.05506% | 166019 |  7.055% | 120802 |  6.536% | 
 | 27   | Breloom            |  7.01418% | 165057 |  7.014% | 125525 |  6.792% | 
 | 28   | Slowbro            |  6.91121% | 162634 |  6.911% | 130322 |  7.051% | 
 | 29   | Gyarados           |  6.87208% | 161713 |  6.872% | 128321 |  6.943% | 
 | 30   | Lopunny            |  6.64179% | 156294 |  6.642% | 129091 |  6.985% | 
 | 31   | Serperior          |  6.56985% | 154601 |  6.570% | 118379 |  6.405% | 
 | 32   | Gardevoir          |  6.06802% | 142792 |  6.068% | 106148 |  5.743% | 
 | 33   | Chansey            |  5.73018% | 134842 |  5.730% | 102905 |  5.568% | 
 | 34   | Thundurus          |  5.36544% | 126259 |  5.365% | 99537  |  5.386% | 
 | 35   | Magnezone          |  5.29740% | 124658 |  5.297% | 99324  |  5.374% | 
 | 36   | Gallade            |  4.95506% | 116602 |  4.955% | 85560  |  4.629% | 
 | 37   | Altaria            |  4.93037% | 116021 |  4.930% | 87802  |  4.751% | 
 | 38   | Raikou             |  4.64361% | 109273 |  4.644% | 86895  |  4.702% | 
 | 39   | Volcarona          |  4.50253% | 105953 |  4.503% | 79506  |  4.302% | 
 | 40   | Togekiss           |  4.36395% | 102692 |  4.364% | 77628  |  4.200% | 
 | 41   | Landorus           |  4.24101% | 99799  |  4.241% | 76747  |  4.153% | 
 | 42   | Manectric          |  4.11628% | 96864  |  4.116% | 78979  |  4.273% | 
 | 43   | Mamoswine          |  4.00801% | 94316  |  4.008% | 77732  |  4.206% | 
 | 44   | Alakazam           |  3.92539% | 92372  |  3.925% | 67581  |  3.657% | 
 | 45   | Mew                |  3.87253% | 91128  |  3.873% | 75253  |  4.072% | 
 | 46   | Jirachi            |  3.71228% | 87357  |  3.712% | 68727  |  3.719% | 
 | 47   | Zapdos             |  3.61641% | 85101  |  3.616% | 68662  |  3.715% | 
 | 48   | Espeon             |  3.56478% | 83886  |  3.565% | 64299  |  3.479% | 
 | 49   | Diancie            |  3.53223% | 83120  |  3.532% | 67222  |  3.637% | 
 | 50   | Kyurem-Black       |  3.45862% | 81388  |  3.459% | 59910  |  3.242% | 
 | 51   | Weavile            |  3.44405% | 81045  |  3.444% | 62359  |  3.374% | 
 | 52   | Scolipede          |  3.31741% | 78065  |  3.317% | 66651  |  3.606% | 
 | 53   | Celebi             |  3.27674% | 77108  |  3.277% | 61534  |  3.329% | 
 | 54   | Swampert           |  3.15287% | 74193  |  3.153% | 60972  |  3.299% | 
 | 55   | Mandibuzz          |  3.06512% | 72128  |  3.065% | 56638  |  3.065% | 
 | 56   | Infernape          |  2.97932% | 70109  |  2.979% | 56132  |  3.037% | 
 | 57   | Heracross          |  2.85850% | 67266  |  2.859% | 49907  |  2.700% | 
 | 58   | Klefki             |  2.79833% | 65850  |  2.798% | 57035  |  3.086% | 
 | 59   | Sceptile           |  2.78732% | 65591  |  2.787% | 49711  |  2.690% | 
 | 60   | Umbreon            |  2.69982% | 63532  |  2.700% | 47969  |  2.595% | 
 | 61   | Cloyster           |  2.66260% | 62656  |  2.663% | 47219  |  2.555% | 
 | 62   | Manaphy            |  2.62129% | 61684  |  2.621% | 48530  |  2.626% | 
 | 63   | Goodra             |  2.61692% | 61581  |  2.617% | 47536  |  2.572% | 
 | 64   | Arcanine           |  2.61033% | 61426  |  2.610% | 48734  |  2.637% | 
 | 65   | Hydreigon          |  2.48441% | 58463  |  2.484% | 45013  |  2.436% | 
 | 66   | Politoed           |  2.47957% | 58349  |  2.480% | 53885  |  2.916% | 
 | 67   | Tentacruel         |  2.40304% | 56548  |  2.403% | 45062  |  2.438% | 
 | 68   | Chandelure         |  2.30283% | 54190  |  2.303% | 42047  |  2.275% | 
 | 69   | Hippowdon          |  2.27223% | 53470  |  2.272% | 47001  |  2.543% | 
 | 70   | Milotic            |  2.23021% | 52481  |  2.230% | 41402  |  2.240% | 
 | 71   | Victini            |  2.19647% | 51687  |  2.196% | 41415  |  2.241% | 
 | 72   | Forretress         |  2.16170% | 50869  |  2.162% | 44857  |  2.427% | 
 | 73   | Feraligatr         |  2.14598% | 50499  |  2.146% | 37790  |  2.045% | 
 | 74   | Pinsir             |  2.13166% | 50162  |  2.132% | 36865  |  1.995% | 
 | 75   | Blastoise          |  2.08534% | 49072  |  2.085% | 39325  |  2.128% | 
 | 76   | Staraptor          |  2.00490% | 47179  |  2.005% | 35486  |  1.920% | 
 | 77   | Galvantula         |  2.00205% | 47112  |  2.002% | 41092  |  2.223% | 
 | 78   | Gothitelle         |  1.99810% | 47019  |  1.998% | 35316  |  1.911% | 
 | 79   | Blissey            |  1.98977% | 46823  |  1.990% | 34672  |  1.876% | 
 | 80   | Kingdra            |  1.97906% | 46571  |  1.979% | 34830  |  1.885% | 
 | 81   | Salamence          |  1.91374% | 45034  |  1.914% | 32752  |  1.772% | 
 | 82   | Beedrill           |  1.88761% | 44419  |  1.888% | 33792  |  1.828% | 
 | 83   | Snorlax            |  1.86972% | 43998  |  1.870% | 33301  |  1.802% | 
 | 84   | Donphan            |  1.86028% | 43776  |  1.860% | 36836  |  1.993% | 
 | 85   | Vaporeon           |  1.83576% | 43199  |  1.836% | 34123  |  1.846% | 
 | 86   | Jolteon            |  1.80045% | 42368  |  1.800% | 33075  |  1.790% | 
 | 87   | Lucario            |  1.79221% | 42174  |  1.792% | 31153  |  1.686% | 
 | 88   | Terrakion          |  1.78375% | 41975  |  1.784% | 32071  |  1.735% | 
 | 89   | Tornadus-Therian   |  1.78252% | 41946  |  1.783% | 34394  |  1.861% | 
 | 90   | Medicham           |  1.78184% | 41930  |  1.782% | 33209  |  1.797% | 
 | 91   | Crawdaunt          |  1.76786% | 41601  |  1.768% | 31567  |  1.708% | 
 | 92   | Crobat             |  1.72128% | 40505  |  1.721% | 31504  |  1.705% | 
 | 93   | Smeargle           |  1.68520% | 39656  |  1.685% | 35268  |  1.908% | 
 | 94   | Diggersby          |  1.66098% | 39086  |  1.661% | 29671  |  1.605% | 
 | 95   | Thundurus-Therian  |  1.62669% | 38279  |  1.627% | 30043  |  1.626% | 
 | 96   | Darmanitan         |  1.62116% | 38149  |  1.621% | 29897  |  1.618% | 
 | 97   | Aerodactyl         |  1.57454% | 37052  |  1.575% | 28903  |  1.564% | 
 | 98   | Aggron             |  1.47604% | 34734  |  1.476% | 27742  |  1.501% | 
 | 99   | Hawlucha           |  1.45598% | 34262  |  1.456% | 25557  |  1.383% | 
 | 100  | Empoleon           |  1.45165% | 34160  |  1.452% | 28272  |  1.530% | 
 | 101  | Azelf              |  1.43125% | 33680  |  1.431% | 30719  |  1.662% | 
 | 102  | Amoonguss          |  1.42513% | 33536  |  1.425% | 26927  |  1.457% | 
 | 103  | Chesnaught         |  1.42470% | 33526  |  1.425% | 26588  |  1.439% | 
 | 104  | Nidoking           |  1.42045% | 33426  |  1.420% | 25754  |  1.393% | 
 | 105  | Sharpedo           |  1.39674% | 32868  |  1.397% | 24150  |  1.307% | 
 | 106  | Whimsicott         |  1.38140% | 32507  |  1.381% | 25951  |  1.404% | 
 | 107  | Quagsire           |  1.35862% | 31971  |  1.359% | 25053  |  1.356% | 
 | 108  | Porygon2           |  1.35408% | 31864  |  1.354% | 24715  |  1.337% | 
 | 109  | Haxorus            |  1.33997% | 31532  |  1.340% | 22405  |  1.212% | 
 | 110  | Suicune            |  1.30176% | 30633  |  1.302% | 24280  |  1.314% | 
 | 111  | Pidgeot            |  1.27525% | 30009  |  1.275% | 23445  |  1.269% | 
 | 112  | Shuckle            |  1.27389% | 29977  |  1.274% | 25741  |  1.393% | 
 | 113  | Trevenant          |  1.27023% | 29891  |  1.270% | 22646  |  1.225% | 
 | 114  | Ninetales          |  1.25353% | 29498  |  1.254% | 24621  |  1.332% | 
 | 115  | Florges            |  1.19604% | 28145  |  1.196% | 20757  |  1.123% | 
 | 116  | Machamp            |  1.18732% | 27940  |  1.187% | 22250  |  1.204% | 
 | 117  | Roserade           |  1.18448% | 27873  |  1.184% | 21204  |  1.147% | 
 | 118  | Electivire         |  1.18061% | 27782  |  1.181% | 21166  |  1.145% | 
 | 119  | Slurpuff           |  1.10374% | 25973  |  1.104% | 18984  |  1.027% | 
 | 120  | Absol              |  1.09226% | 25703  |  1.092% | 19657  |  1.064% | 
 | 121  | Noivern            |  1.08750% | 25591  |  1.088% | 19634  |  1.062% | 
 | 122  | Ninjask            |  1.07679% | 25339  |  1.077% | 22165  |  1.199% | 
 | 123  | Ditto              |  1.03893% | 24448  |  1.039% | 18553  |  1.004% | 
 | 124  | Porygon-Z          |  1.02363% | 24088  |  1.024% | 17644  |  0.955% | 
 | 125  | Toxicroak          |  1.02151% | 24038  |  1.022% | 18369  |  0.994% | 
 | 126  | Scrafty            |  1.01811% | 23958  |  1.018% | 17884  |  0.968% | 
 | 127  | Rotom-Heat         |  0.99265% | 23359  |  0.993% | 19638  |  1.063% | 
 | 128  | Tyrantrum          |  0.99095% | 23319  |  0.991% | 16719  |  0.905% | 
 | 129  | Cofagrigus         |  0.94068% | 22136  |  0.941% | 18311  |  0.991% | 
 | 130  | Ambipom            |  0.93218% | 21936  |  0.932% | 18145  |  0.982% | 
 | 131  | Ampharos           |  0.89483% | 21057  |  0.895% | 16083  |  0.870% | 
 | 132  | Houndoom           |  0.88620% | 20854  |  0.886% | 15834  |  0.857% | 
 | 133  | Cresselia          |  0.87796% | 20660  |  0.878% | 15599  |  0.844% | 
 | 134  | Wobbuffet          |  0.86733% | 20410  |  0.867% | 16121  |  0.872% | 
 | 135  | Zoroark            |  0.84791% | 19953  |  0.848% | 9276   |  0.502% | 
 | 136  | Weezing            |  0.84749% | 19943  |  0.847% | 16380  |  0.886% | 
 | 137  | Dragalge           |  0.83924% | 19749  |  0.839% | 15264  |  0.826% | 
 | 138  | Gastrodon          |  0.81732% | 19233  |  0.817% | 15834  |  0.857% | 
 | 139  | Krookodile         |  0.80317% | 18900  |  0.803% | 14815  |  0.802% | 
 | 140  | Mienshao           |  0.80295% | 18895  |  0.803% | 14805  |  0.801% | 
 | 141  | Rhyperior          |  0.80113% | 18852  |  0.801% | 15128  |  0.819% | 
 | 142  | Dugtrio            |  0.79700% | 18755  |  0.797% | 14573  |  0.789% | 
 | 143  | Typhlosion         |  0.78702% | 18520  |  0.787% | 13966  |  0.756% | 
 | 144  | Seismitoad         |  0.78676% | 18514  |  0.787% | 16306  |  0.882% | 
 | 145  | Ludicolo           |  0.78668% | 18512  |  0.787% | 14416  |  0.780% | 
 | 146  | Eelektross         |  0.78124% | 18384  |  0.781% | 14723  |  0.797% | 
 | 147  | Honchkrow          |  0.77703% | 18285  |  0.777% | 13505  |  0.731% | 
 | 148  | Drapion            |  0.77040% | 18129  |  0.770% | 14268  |  0.772% | 
 | 149  | Jellicent          |  0.76679% | 18044  |  0.767% | 14193  |  0.768% | 
 | 150  | Entei              |  0.76607% | 18027  |  0.766% | 14451  |  0.782% | 
 | 151  | Malamar            |  0.73275% | 17243  |  0.733% | 13095  |  0.709% | 
 | 152  | Lapras             |  0.68375% | 16090  |  0.684% | 12576  |  0.680% | 
 | 153  | Reuniclus          |  0.67768% | 15947  |  0.678% | 12053  |  0.652% | 
 | 154  | Flygon             |  0.66922% | 15748  |  0.669% | 12190  |  0.660% | 
 | 155  | Kabutops           |  0.66476% | 15643  |  0.665% | 11232  |  0.608% | 
 | 156  | Steelix            |  0.66280% | 15597  |  0.663% | 12796  |  0.692% | 
 | 157  | Froslass           |  0.66076% | 15549  |  0.661% | 12942  |  0.700% | 
 | 158  | Tangrowth          |  0.64665% | 15217  |  0.647% | 12116  |  0.656% | 
 | 159  | Dusclops           |  0.64279% | 15126  |  0.643% | 12022  |  0.650% | 
 | 160  | Cinccino           |  0.60781% | 14303  |  0.608% | 10653  |  0.576% | 
 | 161  | Pikachu            |  0.59706% | 14050  |  0.597% | 10840  |  0.587% | 
 | 162  | Alomomola          |  0.56421% | 13277  |  0.564% | 10434  |  0.565% | 
 | 163  | Bronzong           |  0.56375% | 13266  |  0.564% | 11447  |  0.619% | 
 | 164  | Slowking           |  0.54271% | 12771  |  0.543% | 10200  |  0.552% | 
 | 165  | Sigilyph           |  0.54025% | 12713  |  0.540% | 9509   |  0.515% | 
 | 166  | Hitmonlee          |  0.52061% | 12251  |  0.521% | 9340   |  0.505% | 
 | 167  | Banette            |  0.50302% | 11837  |  0.503% | 9330   |  0.505% | 
 | 168  | Venomoth           |  0.49639% | 11681  |  0.496% | 9169   |  0.496% | 
 | 169  | Heliolisk          |  0.49520% | 11653  |  0.495% | 8502   |  0.460% | 
 | 170  | Delphox            |  0.46324% | 10901  |  0.463% | 8284   |  0.448% | 
 | 171  | Lanturn            |  0.44047% | 10365  |  0.440% | 8269   |  0.447% | 
 | 172  | Zygarde            |  0.41960% | 9874   |  0.420% | 7557   |  0.409% | 
 | 173  | Torterra           |  0.41722% | 9818   |  0.417% | 7684   |  0.416% | 
 | 174  | Camerupt           |  0.41675% | 9807   |  0.417% | 7918   |  0.428% | 
 | 175  | Abomasnow          |  0.40791% | 9599   |  0.408% | 7863   |  0.425% | 
 | 176  | Dusknoir           |  0.40235% | 9468   |  0.402% | 7566   |  0.409% | 
 | 177  | Cradily            |  0.39457% | 9285   |  0.395% | 7209   |  0.390% | 
 | 178  | Hitmontop          |  0.38798% | 9130   |  0.388% | 7073   |  0.383% | 
 | 179  | Raichu             |  0.38488% | 9057   |  0.385% | 6836   |  0.370% | 
 | 180  | Exeggutor          |  0.37948% | 8930   |  0.379% | 6733   |  0.364% | 
 | 181  | Meowstic           |  0.37515% | 8828   |  0.375% | 7506   |  0.406% | 
 | 182  | Exploud            |  0.36776% | 8654   |  0.368% | 6716   |  0.363% | 
 | 183  | Pangoro            |  0.36648% | 8624   |  0.366% | 6563   |  0.355% | 
 | 184  | Emboar             |  0.36172% | 8512   |  0.362% | 6518   |  0.353% | 
 | 185  | Yanmega            |  0.36074% | 8489   |  0.361% | 6315   |  0.342% | 
 | 186  | Clawitzer          |  0.35909% | 8450   |  0.359% | 6498   |  0.352% | 
 | 187  | Muk                |  0.35594% | 8376   |  0.356% | 6553   |  0.355% | 
 | 188  | Luxray             |  0.35501% | 8354   |  0.355% | 6465   |  0.350% | 
 | 189  | Golem              |  0.35225% | 8289   |  0.352% | 6797   |  0.368% | 
 | 190  | Kecleon            |  0.35203% | 8284   |  0.352% | 6595   |  0.357% | 
 | 191  | Swellow            |  0.35144% | 8270   |  0.351% | 5915   |  0.320% | 
 | 192  | Shedinja           |  0.34906% | 8214   |  0.349% | 6005   |  0.325% | 
 | 193  | Mismagius          |  0.34829% | 8196   |  0.348% | 6203   |  0.336% | 
 | 194  | Durant             |  0.34757% | 8179   |  0.348% | 6627   |  0.359% | 
 | 195  | Spiritomb          |  0.33546% | 7894   |  0.335% | 6140   |  0.332% | 
 | 196  | Vivillon           |  0.33248% | 7824   |  0.332% | 5830   |  0.315% | 
 | 197  | Glalie             |  0.33206% | 7814   |  0.332% | 5959   |  0.322% | 
 | 198  | Magmortar          |  0.33057% | 7779   |  0.331% | 5773   |  0.312% | 
 | 199  | Xatu               |  0.32356% | 7614   |  0.324% | 6057   |  0.328% | 
 | 200  | Golurk             |  0.32284% | 7597   |  0.323% | 5939   |  0.321% | 
 | 201  | Omastar            |  0.31969% | 7523   |  0.320% | 5687   |  0.308% | 
 | 202  | Doublade           |  0.31740% | 7469   |  0.317% | 5816   |  0.315% | 
 | 203  | Meloetta           |  0.31697% | 7459   |  0.317% | 5585   |  0.302% | 
 | 204  | Flareon            |  0.31668% | 7452   |  0.317% | 5825   |  0.315% | 
 | 205  | Magneton           |  0.30847% | 7259   |  0.308% | 5953   |  0.322% | 
 | 206  | Torkoal            |  0.30431% | 7161   |  0.304% | 6092   |  0.330% | 
 | 207  | Marowak            |  0.29530% | 6949   |  0.295% | 5315   |  0.288% | 
 | 208  | Leafeon            |  0.29441% | 6928   |  0.294% | 5219   |  0.282% | 
 | 209  | Audino             |  0.29326% | 6901   |  0.293% | 5071   |  0.274% | 
 | 210  | Slaking            |  0.29046% | 6835   |  0.290% | 5237   |  0.283% | 
 | 211  | Tauros             |  0.28718% | 6758   |  0.287% | 5156   |  0.279% | 
 | 212  | Barbaracle         |  0.28294% | 6658   |  0.283% | 4863   |  0.263% | 
 | 213  | Miltank            |  0.28073% | 6606   |  0.281% | 4929   |  0.267% | 
 | 214  | Hitmonchan         |  0.27945% | 6576   |  0.279% | 5079   |  0.275% | 
 | 215  | Gorebyss           |  0.27881% | 6561   |  0.279% | 5533   |  0.299% | 
 | 216  | Nidoqueen          |  0.27605% | 6496   |  0.276% | 5390   |  0.292% | 
 | 217  | Escavalier         |  0.27337% | 6433   |  0.273% | 5043   |  0.273% | 
 | 218  | Cobalion           |  0.26730% | 6290   |  0.267% | 5122   |  0.277% | 
 | 219  | Ursaring           |  0.26551% | 6248   |  0.266% | 4724   |  0.256% | 
 | 220  | Braviary           |  0.25999% | 6118   |  0.260% | 4619   |  0.250% | 
 | 221  | Emolga             |  0.25650% | 6036   |  0.257% | 4953   |  0.268% | 
 | 222  | Zangoose           |  0.25582% | 6020   |  0.256% | 4350   |  0.235% | 
 | 223  | Shaymin            |  0.24958% | 5873   |  0.250% | 4486   |  0.243% | 
 | 224  | Scyther            |  0.24537% | 5774   |  0.245% | 4348   |  0.235% | 
 | 225  | Registeel          |  0.24354% | 5731   |  0.244% | 4754   |  0.257% | 
 | 226  | Liepard            |  0.24027% | 5654   |  0.240% | 4671   |  0.253% | 
 | 227  | Avalugg            |  0.23810% | 5603   |  0.238% | 4252   |  0.230% | 
 | 228  | Accelgor           |  0.22897% | 5388   |  0.229% | 4280   |  0.232% | 
 | 229  | Glaceon            |  0.22616% | 5322   |  0.226% | 3757   |  0.203% | 
 | 230  | Pyroar             |  0.22531% | 5302   |  0.225% | 3942   |  0.213% | 
 | 231  | Rotom-Mow          |  0.22463% | 5286   |  0.225% | 4330   |  0.234% | 
 | 232  | Poliwrath          |  0.22204% | 5225   |  0.222% | 4129   |  0.223% | 
 | 233  | Archeops           |  0.21936% | 5162   |  0.219% | 4134   |  0.224% | 
 | 234  | Claydol            |  0.21596% | 5082   |  0.216% | 4160   |  0.225% | 
 | 235  | Meganium           |  0.21235% | 4997   |  0.212% | 3600   |  0.195% | 
 | 236  | Rampardos          |  0.20997% | 4941   |  0.210% | 3518   |  0.190% | 
 | 237  | Lilligant          |  0.20776% | 4889   |  0.208% | 3456   |  0.187% | 
 | 238  | Uxie               |  0.20389% | 4798   |  0.204% | 4203   |  0.227% | 
 | 239  | Druddigon          |  0.20317% | 4781   |  0.203% | 4112   |  0.222% | 
 | 240  | Primeape           |  0.20054% | 4719   |  0.201% | 3600   |  0.195% | 
 | 241  | Chatot             |  0.19841% | 4669   |  0.198% | 3683   |  0.199% | 
 | 242  | Carracosta         |  0.19692% | 4634   |  0.197% | 3429   |  0.186% | 
 | 243  | Gigalith           |  0.19518% | 4593   |  0.195% | 3888   |  0.210% | 
 | 244  | Drifblim           |  0.19412% | 4568   |  0.194% | 3583   |  0.194% | 
 | 245  | Volbeat            |  0.19068% | 4487   |  0.191% | 3903   |  0.211% | 
 | 246  | Hariyama           |  0.19042% | 4481   |  0.190% | 3389   |  0.183% | 
 | 247  | Gourgeist-Super    |  0.18991% | 4469   |  0.190% | 3679   |  0.199% | 
 | 248  | Samurott           |  0.18847% | 4435   |  0.188% | 3398   |  0.184% | 
 | 249  | Cacturne           |  0.18745% | 4411   |  0.187% | 3322   |  0.180% | 
