 Total battles: 176508
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Groudon            | 39.35062% | 138914 | 39.351% | 108923 | 42.933% | 
 | 2    | Xerneas            | 31.95748% | 112815 | 31.957% | 76151  | 30.016% | 
 | 3    | Kyogre             | 25.73368% | 90844  | 25.734% | 64498  | 25.422% | 
 | 4    | Darkrai            | 23.17260% | 81803  | 23.173% | 59413  | 23.418% | 
 | 5    | Arceus             | 20.43477% | 72138  | 20.435% | 49922  | 19.677% | 
 | 6    | Mewtwo             | 17.65954% | 62341  | 17.660% | 42837  | 16.885% | 
 | 7    | Lugia              | 14.95485% | 52793  | 14.955% | 36323  | 14.317% | 
 | 8    | Salamence          | 14.80584% | 52267  | 14.806% | 35880  | 14.142% | 
 | 9    | Blaziken           | 13.09742% | 46236  | 13.097% | 34257  | 13.503% | 
 | 10   | Greninja           | 12.62606% | 44572  | 12.626% | 32667  | 12.876% | 
 | 11   | Aegislash          | 12.39009% | 43739  | 12.390% | 30480  | 12.014% | 
 | 12   | Rayquaza           | 12.15129% | 42896  | 12.151% | 29519  | 11.635% | 
 | 13   | Yveltal            | 12.00824% | 42391  | 12.008% | 31083  | 12.252% | 
 | 14   | Ho-Oh              | 10.88081% | 38411  | 10.881% | 28177  | 11.106% | 
 | 15   | Gengar             |  9.95649% | 35148  |  9.956% | 25157  |  9.916% | 
 | 16   | Kangaskhan         |  8.77552% | 30979  |  8.776% | 24190  |  9.535% | 
 | 17   | Dialga             |  8.09283% | 28569  |  8.093% | 20817  |  8.205% | 
 | 18   | Genesect           |  8.07669% | 28512  |  8.077% | 21253  |  8.377% | 
 | 19   | Deoxys-Attack      |  7.63167% | 26941  |  7.632% | 20371  |  8.029% | 
 | 20   | Lucario            |  7.07503% | 24976  |  7.075% | 17949  |  7.075% | 
 | 21   | Giratina-Origin    |  6.95096% | 24538  |  6.951% | 17808  |  7.019% | 
 | 22   | Charizard          |  6.44305% | 22745  |  6.443% | 16787  |  6.617% | 
 | 23   | Deoxys-Speed       |  5.87141% | 20727  |  5.871% | 18814  |  7.416% | 
 | 24   | Zekrom             |  5.74337% | 20275  |  5.743% | 13618  |  5.368% | 
 | 25   | Shaymin-Sky        |  5.36831% | 18951  |  5.368% | 12579  |  4.958% | 
 | 26   | Latias             |  4.85587% | 17142  |  4.856% | 11605  |  4.574% | 
 | 27   | Palkia             |  4.66466% | 16467  |  4.665% | 10859  |  4.280% | 
 | 28   | Ferrothorn         |  4.65815% | 16444  |  4.658% | 13521  |  5.329% | 
 | 29   | Deoxys-Defense     |  4.57458% | 16149  |  4.575% | 13162  |  5.188% | 
 | 30   | Giratina           |  4.57231% | 16141  |  4.572% | 11417  |  4.500% | 
 | 31   | Kyurem-White       |  4.54144% | 16032  |  4.541% | 10461  |  4.123% | 
 | 32   | Smeargle           |  4.24797% | 14996  |  4.248% | 13165  |  5.189% | 
 | 33   | Garchomp           |  4.01795% | 14184  |  4.018% | 10241  |  4.037% | 
 | 34   | Klefki             |  3.92333% | 13850  |  3.923% | 11521  |  4.541% | 
